QId,AId,accepted
898405,1153025,0
12679343,12679433,0
19108614,19786664,0
22336327,22336776,0
28785022,28785148,0
244329,244667,0
8216444,8216478,0
9371288,9371326,1
23613344,23613857,1
24660822,24702541,1
6859287,6860105,1
7905617,7905744,0
8764405,8919768,0
14511649,14511694,0
16669082,16669191,0
2761543,21401846,0
6527345,15307412,0
25633477,25637424,0
13988691,13990370,1
14935237,14935284,0
19627972,19628009,0
22571135,22573560,1
25790826,25791047,1
28875690,28875845,1
2979501,3154890,1
5595418,5621127,0
9172656,9172989,0
11996363,12008347,1
26360974,26361056,0
26521241,26522052,0
7779,65917,0
238920,13477989,0
1918196,2623738,0
16079241,16079330,0
19863421,20123671,1
249536,249556,1
414583,20505808,0
1750477,1750718,0
7092714,7092769,0
12281705,12281810,0
15577906,15577942,0
16510699,16510720,1
17309434,17309465,1
17729384,17729637,1
22793315,23197731,1
23831166,23831229,1
27305812,27306097,1
4029961,4666793,0
6716404,6716591,0
8104446,8104934,1
14136502,14136539,0
15313579,15313685,1
24563891,24563977,1
2361042,2365373,0
10923311,10923549,1
12052162,12052240,0
15311431,15311487,0
17342790,17342852,0
17797099,17797713,0
